Length	Source
35626	Pig-I
198424	Pig-S
151999	Pig-S
152445	Pig-S
196664	Pig-I
67848	Pig-I
67843	Pig-I
67846	Pig-I
67848	Pig-I
67844	Pig-I
76819	Pig-I
76820	Pig-I
76824	Pig-I
76809	Pig-I
76825	Pig-I
186174	Pig-I
169034	Manhole
169034	Manhole
154000	Manhole
186166	Fishing water
169490	Pig-I
174978	Pig-I
174409	Manhole
180639	Pig-I
169535	Pig-I
175174	Pig-I
169482	Pig-I
165590	River
165596	River
169340	River
136922	BB
169241	River
164686	WWTP-E
148322	WWTP-S
166378	WWTP-I
121756	WWTP-S
49210	River
156141	River
156133	River
138838	River
156148	River
144098	River
156149	WWTP-I
156150	WWTP-I
161390	WWTP-I
156147	WWTP-I
156148	WWTP-I
126227	WWTP-I
156147	WWTP-I
156148	WWTP-S
156150	WWTP-I
156141	WWTP-I
182017	WWTP-I
179436	WWTP-E
146557	WWTP-I
143294	WWTP-I
146552	WWTP-I
181724	WWTP-I
153983	WWTP-E
153214	WWTP-E
154541	WWTP-I
162083	Manhole
130884	WWTP-I
159360	WWTP-I
178452	Manhole
177974	WWTP-E
177508	WWTP-E
151460	Manhole
163914	Manhole
169172	WWTP-S
160392	WWTP-E
155169	WWTP-I
176240	River
121782	WWTP-I
176140	WWTP-I
160333	WWTP-I
144803	WWTP-I
126990	Pig-I
117629	WWTP-I
175379	Pig-I
109514	Pig-I
175002	Fishing water
172595	WWTP-I
138565	Manhole
138568	Manhole
138570	Manhole
137127	WWTP-I
28932	WWTP-I
161696	Fishing water
164048	WWTP-I
135872	WWTP-E
135861	WWTP-E
138568	Manhole
138572	Manhole
152427	River
166983	WWTP-I
166331	WWTP-I
166987	WWTP-I
166986	WWTP-I
166982	WWTP-I
165992	WWTP-I
97070	River
146472	WWTP-E
170853	WWTP-E
158978	WWTP-I
158981	WWTP-I
170901	River
108621	Manhole
169958	WWTP-S
169810	BB
103800	BB
169695	WWTP-I
58818	WWTP-I
169575	BB
73957	Manhole
132934	River
169215	WWTP-E
148865	WWTP-I
163305	WWTP-E
148866	WWTP-I
148931	WWTP-E
97793	WWTP-S
168909	River
120907	Manhole
138059	WWTP-I
158033	WWTP-I
119637	WWTP-I
147164	WWTP-E
147211	WWTP-E
147164	WWTP-E
120876	Manhole
168907	River
123061	WWTP-I
108816	WWTP-S
167910	Marine
167419	Marine
6575	WWTP-I
167499	WWTP-I
109611	River
167428	River
167215	BB
167212	WWTP-E
166903	WWTP-I
37673	Pig-I
37665	Pig-I
37666	Pig-I
37666	Pig-I
37669	Pig-I
75330	Pig-I
37661	Pig-I
37673	Pig-I
37677	Pig-I
37668	Pig-I
37673	Pig-S
37673	Pig-S
37672	Pig-S
37640	Pig-E
37673	Pig-E
37672	Pig-I
36880	Pig-I
37672	Pig-I
37672	Pig-I
37665	Pig-I
37673	Pig-I
75222	Pig-I
36739	Pig-I
37668	Pig-I
36574	Pig-I
36565	Pig-I
75010	Pig-I
37551	Pig-I
43390	Pig-I
37235	Pig-I
74951	Pig-I
37672	Pig-I
37672	Pig-I
30188	BB
37672	Pig-I
70704	WWTP-I
35515	WWTP-I
70577	WWTP-I
35514	WWTP-I
37665	Pig-I
37673	Pig-I
75239	Pig-I
75058	Pig-I
37673	Pig-I
37671	Pig-I
166184	WWTP-S
142728	Manhole
133078	WWTP-I
122765	WWTP-I
152736	WWTP-I
128551	WWTP-E
140444	Manhole
151647	Pig-I
151647	Pig-I
151649	Pig-I
151650	Pig-I
151173	Pig-I
151647	Pig-I
151648	Pig-I
137319	WWTP-I
153636	River
135953	River
154091	River
127019	WWTP-I
159956	WWTP-S
159966	WWTP-S
159963	WWTP-S
165595	WWTP-I
165594	WWTP-I
165595	WWTP-I
165594	WWTP-I
120565	WWTP-I
165477	Pig-I
165280	Pig-I
165190	Pig-I
164986	Pig-I
165161	Pig-I
165473	Pig-I
165473	Pig-I
165027	WWTP-I
164977	WWTP-I
164897	WWTP-I
164926	WWTP-I
163069	Pig-I
163053	Manhole
162757	WWTP-I
130686	WWTP-I
162449	Pig-I
126266	WWTP-I
101318	WWTP-I
138656	WWTP-E
142045	River
142038	River
133590	River
133589	River
140054	River
142708	WWTP-E
140619	WWTP-S
137447	WWTP-I
131441	WWTP-I
161535	River
113891	Fishing water
93702	Manhole
132146	WWTP-I
138395	WWTP-I
131741	WWTP-I
138951	WWTP-I
112569	Pig-I
159963	WWTP-S
115625	Fishing water
115617	Fishing water
114230	BB
122732	River
117575	River
121029	River
159885	Pig-I
159884	Pig-I
154915	Pig-I
141297	Manhole
141597	Manhole
141297	Manhole
141615	Manhole
141605	Manhole
131975	WWTP-E
158455	Manhole
157832	Pig-I
156529	Pig-S
156556	Pig-S
157818	Pig-I
157791	WWTP-I
48100	Pig-I
48100	Pig-I
48094	Pig-I
48100	Pig-I
48090	Pig-I
48100	Pig-I
48100	Pig-I
48100	Pig-I
48095	Pig-I
45432	WWTP-I
155254	WWTP-E
123653	Fishing water
154938	River
103426	WWTP-I
154454	WWTP-E
154454	WWTP-E
153156	WWTP-I
90788	WWTP-I
80954	River
97127	WWTP-I
102320	WWTP-I
86116	WWTP-I
102285	WWTP-I
123565	WWTP-E
103341	WWTP-S
102321	WWTP-S
102313	WWTP-S
153113	WWTP-I
83517	WWTP-E
83314	WWTP-E
137450	River
83173	River
83173	River
152316	Pig-I
151834	WWTP-E
151211	WWTP-E
150372	WWTP-E
151202	WWTP-E
150366	Manhole
149605	River
94854	Pig-I
96162	Pig-I
96187	Pig-I
96171	Pig-I
96168	Pig-I
96158	Pig-I
92910	Pig-I
94179	Pig-I
148398	Pig-I
148384	Pig-I
147924	Pig-I
147951	WWTP-S
147724	WWTP-I
110778	River
87063	Pig-I
73356	River
90888	River
90894	River
93378	WWTP-I
146848	WWTP-I
146297	WWTP-E
141276	WWTP-I
136136	WWTP-S
136414	WWTP-S
127110	WWTP-I
145705	WWTP-I
87564	Manhole
129268	WWTP-I
135163	River
102417	River
77568	WWTP-E
88809	WWTP-E
145654	WWTP-E
144143	WWTP-I
143852	WWTP-I
105344	Pig-I
