Human	Environment	Animal
85949	18601	9023
85680	46714	8826
62111	46712	7596
85328	46719	8035
61793	46719	7915
76745	44394	7895
40617	44257	7667
40616	41594	2042
40608	41207	2044
82939	38809	7472
82260	37997	3901
2852	37997	7429
81597	2797	7189
80868	28950	7173
79105	28962	2045
79077	2764	1893
39511	28993	5420
39511	3151	5353
39511	30403	1857
39511	28035	3138
29478	26954	6358
39511	24264	3373
39505	12979	6079
39511	8324	6078
38706	13548	6079
74323	5821	6066
78157	13049	3205
58355	12927	3205
76109	23714	3205
75763	21905	3195
38005	11396	3234
37998	3636	5928
75331	11932	3205
25288	7683	3892
75107	16262	3720
75100	11501	3895
74215	21471	3814
73477	20542	3703
7844	9877	3843
7933	10017	3669
4172	10027	3699
36145	9989	3667
34609	9930	3894
34606	9926	5901
34050	9711	5934
33888	13397	5813
69354	20036	5751
68962	19816	5772
68247	12620	3050
63392	13013	5591
67988	19508	5045
62475	19506	3022
65167	18959	3079
64373	12459	4619
65732	12536	4590
65726	12519	4520
65528	12434	4499
63941	6477	2275
63752	12484	2526
62034	12552	2138
60754	12480	3914
30582	12570	3783
30570	18849	3718
59749	9025	3571
58486	14180	3498
56267	18811	2255
55955	17994	2003
55746	11879	1934
54823	17226	1749
54812	10775	1742
51965	5789	
42709	16713	
51479	16574	
50978	16592	
50704	16461	
48947	11037	
47908	10812	
47462	10835	
46831	15939	
46723	15877	
39040	15273	
36917	15455	
36795	7940	
46719	15498	
46718	9763	
46718	15420	
46719	14874	
36863	14862	
36742	14855	
46565	9847	
44202	9704	
42675	14322	
41607	7329	
40850	14211	
38311	13869	
40242	13576	
39823	4538	
39976	8937	
38799	8941	
38083	13369	
36905	13184	
36888	13165	
36887	13055	
36880	5960	
35229	12524	
34123	12477	
33629	6444	
33628	12510	
33309	12485	
33014	12094	
32583	7920	
3564	8086	
6863	7906	
32280	12379	
31426	12222	
29040	4148	
14237	4724	
26985	7906	
25798	12128	
25728	5569	
24969	5570	
12897	12004	
6649	11934	
12929	11880	
12981	7642	
12779	11817	
12866	11668	
6664	11590	
13002	11475	
12773	11445	
8137	11287	
14562	4073	
14556	6058	
6755	11100	
23496	10922	
22588	10907	
4073	10770	
4073	10531	
15352	10695	
7558	7561	
7711	7867	
4055	9876	
21812	9845	
14396	9844	
14483	8036	
14366	9689	
7395	6307	
21660	3260	
20401	9449	
20173	4803	
5544	9029	
10009	4664	
9962	8929	
9996	8913	
20090	8910	
17271	9354	
19741	9105	
12982	9071	
19509	9137	
12943	8966	
19594	8905	
19112	6546	
12469	8787	
12521	8737	
12521	8740	
12491	4637	
12490	8627	
12471	8590	
6469	8536	
12490	3066	
12565	4258	
4921	8148	
18638	8103	
18508	8131	
18497	7570	
18375	7736	
18374	7681	
6113	7609	
6079	6121	
5792	7599	
16620	7442	
5634	7390	
5628	7376	
16094	7112	
7896	3804	
7964	3221	
16035	6650	
16018	6547	
15604	6483	
15458	3373	
15421	6105	
10063	6067	
15246	3282	
14938	6044	
14930	3629	
14604	2084	
14659	3257	
14007	3169	
13451	5940	
13530	5923	
6995	5914	
8944	3131	
8973	5913	
8905	5811	
4665	5640	
8449	3065	
8943	5622	
5077	5514	
4146	5291	
8965	5091	
13435	5053	
13211	4469	
12880	4384	
6434	3531	
12507	4072	
12476	3965	
7694	3230	
8030	3872	
7891	3853	
12442	3816	
6517	3229	
12358	3003	
12343	2989	
12217	2753	
8985	2713	
12189	2545	
4082	2334	
12169	2294	
5569	1943	
5569	1934	
5567	1934	
5566	1934	
5569		
5568		
5570		
12089		
6122		
6069		
11568		
6075		
11562		
11631		
11607		
11585		
6046		
5989		
11056		
11017		
11012		
11042		
10963		
10891		
5629		
10885		
10196		
10266		
10661		
10659		
10701		
4012		
4018		
10099		
10086		
9924		
10024		
9911		
7180		
6715		
8944		
6324		
9638		
3337		
9612		
3372		
9442		
9371		
9354		
8813		
4468		
8831		
8914		
4664		
9322		
9182		
9157		
4088		
9147		
9087		
8914		
4633		
8904		
8892		
8837		
4241		
4586		
8832		
8730		
8710		
8668		
8567		
8420		
5555		
8419		
8334		
